date,discharge_cfs,precip_mm,temp_c,site_id
2000-01-01,3500.0,0.0,7.4,02035000
2000-01-02,3300.0,0.0,11.7,02035000
2000-01-03,3300.0,0.0,16.0,02035000
2000-01-04,3040.0,14.7,16.6,02035000
2000-01-05,3700.0,3.4,7.0,02035000
2000-01-06,4050.0,0.0,3.4,02035000
2000-01-07,3480.0,0.0,5.5,02035000
2000-01-08,3190.0,0.0,3.4,02035000
2000-01-09,3090.0,7.7,4.6,02035000
2000-01-10,3360.0,13.6,8.9,02035000
2000-01-11,7020.0,0.0,10.6,02035000
2000-01-12,6860.0,0.0,7.0,02035000
2000-01-13,5230.0,0.2,9.7,02035000
2000-01-14,5090.0,0.0,0.8,02035000
2000-01-15,4710.0,0.0,-0.8,02035000
2000-01-16,4270.0,0.0,5.5,02035000
2000-01-17,3920.0,0.0,1.3,02035000
2000-01-18,3760.0,0.5,-2.5,02035000
2000-01-19,3480.0,0.0,-1.1,02035000
2000-01-20,3520.0,4.8,1.3,02035000
2000-01-21,3550.0,0.0,-3.5,02035000
2000-01-22,3460.0,0.0,-4.2,02035000
2000-01-23,3110.0,1.1,-1.1,02035000
2000-01-24,3080.0,0.0,0.4,02035000
2000-01-25,3020.0,20.9,-1.2,02035000
2000-01-26,2900.0,0.1,-6.0,02035000
2000-01-27,2800.0,0.0,-8.2,02035000
2000-01-28,2700.0,0.0,-11.0,02035000
2000-01-29,2700.0,0.0,-8.4,02035000
2000-01-30,2790.0,16.1,-3.2,02035000
2000-01-31,2900.0,1.9,-2.5,02035000
2000-02-01,3000.0,0.0,-3.9,02035000
2000-02-02,3000.0,0.0,-4.5,02035000
2000-02-03,3100.0,0.0,-2.3,02035000
2000-02-04,3240.0,0.0,1.3,02035000
2000-02-05,3310.0,0.0,-0.1,02035000
2000-02-06,3560.0,0.0,-0.0,02035000
2000-02-07,3490.0,0.0,2.9,02035000
2000-02-08,3360.0,0.0,1.6,02035000
2000-02-09,3570.0,0.0,1.1,02035000
2000-02-10,3490.0,0.0,4.8,02035000
2000-02-11,3570.0,1.0,9.6,02035000
2000-02-12,3960.0,5.9,3.1,02035000
2000-02-13,4340.0,0.0,-0.5,02035000
2000-02-14,4620.0,9.3,7.1,02035000
2000-02-15,6120.0,0.0,5.4,02035000
2000-02-16,6530.0,0.0,8.3,02035000
2000-02-17,9760.0,0.0,5.8,02035000
2000-02-18,8910.0,10.8,2.2,02035000
2000-02-19,12300.0,2.6,13.2,02035000
2000-02-20,14300.0,0.0,5.5,02035000
2000-02-21,24300.0,0.0,4.4,02035000
2000-02-22,16000.0,0.0,5.2,02035000
2000-02-23,13000.0,0.0,7.4,02035000
2000-02-24,9800.0,0.0,11.6,02035000
2000-02-25,8380.0,0.0,15.8,02035000
2000-02-26,7380.0,0.0,15.4,02035000
2000-02-27,6640.0,1.0,14.7,02035000
2000-02-28,6370.0,11.1,12.3,02035000
2000-02-29,6190.0,0.0,9.2,02035000
2000-03-01,5580.0,0.6,10.6,02035000
2000-03-02,5440.0,0.0,11.2,02035000
2000-03-03,5170.0,0.0,7.3,02035000
2000-03-04,4890.0,0.0,7.5,02035000
2000-03-05,4710.0,0.0,10.1,02035000
