date,discharge_cfs,precip_mm,temp_c,site_id
2000-01-01,84.0,1.9,5.8,09504000
2000-01-02,85.0,8.1,2.1,09504000
2000-01-03,84.0,0.0,0.0,09504000
2000-01-04,83.0,0.0,-0.2,09504000
2000-01-05,84.0,0.0,2.3,09504000
2000-01-06,83.0,0.0,1.3,09504000
2000-01-07,83.0,0.0,0.7,09504000
2000-01-08,83.0,0.0,1.8,09504000
2000-01-09,83.0,0.0,2.7,09504000
2000-01-10,83.0,0.0,3.8,09504000
2000-01-11,83.0,0.0,4.5,09504000
2000-01-12,83.0,0.0,6.7,09504000
2000-01-13,82.0,0.0,7.4,09504000
2000-01-14,82.0,0.0,7.8,09504000
2000-01-15,82.0,0.0,9.5,09504000
2000-01-16,82.0,0.0,12.5,09504000
2000-01-17,82.0,0.0,13.4,09504000
2000-01-18,82.0,0.0,12.4,09504000
2000-01-19,82.0,0.0,12.6,09504000
2000-01-20,82.0,0.0,10.5,09504000
2000-01-21,82.0,0.1,11.7,09504000
2000-01-22,82.0,0.0,10.1,09504000
2000-01-23,82.0,0.0,9.6,09504000
2000-01-24,82.0,0.0,11.0,09504000
2000-01-25,82.0,0.0,10.7,09504000
2000-01-26,83.0,2.5,9.6,09504000
2000-01-27,82.0,0.0,5.1,09504000
2000-01-28,82.0,0.0,6.1,09504000
2000-01-29,81.0,0.0,4.3,09504000
2000-01-30,81.0,0.0,6.0,09504000
2000-01-31,82.0,0.0,7.3,09504000
2000-02-01,81.0,0.0,6.4,09504000
2000-02-02,81.0,0.0,6.6,09504000
2000-02-03,81.0,0.0,8.9,09504000
2000-02-04,81.0,0.0,10.3,09504000
2000-02-05,81.0,0.0,11.0,09504000
2000-02-06,81.0,0.0,10.2,09504000
2000-02-07,81.0,0.0,9.3,09504000
2000-02-08,81.0,0.0,10.9,09504000
2000-02-09,81.0,0.0,13.0,09504000
2000-02-10,81.0,0.0,12.1,09504000
2000-02-11,81.0,0.1,9.3,09504000
2000-02-12,81.0,2.7,7.5,09504000
2000-02-13,82.0,0.0,8.0,09504000
2000-02-14,81.0,0.0,10.0,09504000
2000-02-15,81.0,0.0,10.6,09504000
2000-02-16,81.0,0.3,12.3,09504000
2000-02-17,82.0,8.2,7.0,09504000
2000-02-18,82.0,0.0,6.2,09504000
2000-02-19,81.0,0.0,8.2,09504000
2000-02-20,80.0,0.3,11.4,09504000
2000-02-21,87.0,12.0,9.6,09504000
2000-02-22,84.0,10.0,7.0,09504000
2000-02-23,82.0,0.0,7.3,09504000
2000-02-24,81.0,5.4,7.3,09504000
2000-02-25,81.0,0.0,4.9,09504000
2000-02-26,80.0,0.0,5.0,09504000
2000-02-27,80.0,0.0,9.0,09504000
2000-02-28,80.0,1.7,9.1,09504000
2000-02-29,80.0,0.0,6.2,09504000
2000-03-01,81.0,2.3,7.6,09504000
2000-03-02,80.0,2.4,5.3,09504000
2000-03-03,80.0,0.0,9.6,09504000
2000-03-04,80.0,0.0,11.5,09504000
2000-03-05,83.0,7.5,6.9,09504000
2000-03-06,93.0,41.2,2.7,09504000
2000-03-07,89.0,11.3,1.3,09504000
2000-03-08,84.0,0.5,2.5,09504000
2000-03-09,82.0,1.7,4.2,09504000
2000-03-10,81.0,0.0,1.0,09504000
2000-03-11,79.0,0.0,4.0,09504000
2000-03-12,79.0,0.0,6.4,09504000
2000-03-13,79.0,0.0,9.0,09504000
2000-03-14,82.0,0.7,10.4,09504000
2000-03-15,110.0,0.0,12.8,09504000
2000-03-16,100.0,0.0,10.3,09504000
2000-03-17,86.0,0.0,12.9,09504000
2000-03-18,81.0,0.0,9.7,09504000
2000-03-19,80.0,0.0,10.2,09504000
2000-03-20,79.0,4.8,9.4,09504000
2000-03-21,79.0,3.9,3.9,09504000
2000-03-22,79.0,0.2,3.6,09504000
2000-03-23,79.0,0.0,8.2,09504000
2000-03-24,79.0,0.0,10.5,09504000
2000-03-25,79.0,0.0,11.5,09504000
2000-03-26,79.0,0.0,13.1,09504000
2000-03-27,79.0,0.0,14.4,09504000
2000-03-28,82.0,7.7,11.4,09504000
2000-03-29,87.0,1.1,10.5,09504000
2000-03-30,82.0,1.1,11.7,09504000
2000-03-31,81.0,3.7,7.9,09504000
2000-04-01,80.0,1.5,7.7,09504000
2000-04-02,78.0,0.0,9.4,09504000
2000-04-03,78.0,0.0,13.1,09504000
2000-04-04,78.0,0.0,15.1,09504000
2000-04-05,77.0,0.0,18.2,09504000
2000-04-06,76.0,0.0,18.4,09504000
2000-04-07,76.0,0.0,17.5,09504000
2000-04-08,76.0,0.0,18.1,09504000
2000-04-09,75.0,0.0,18.6,09504000
2000-04-10,76.0,0.0,17.8,09504000
2000-04-11,76.0,0.0,14.8,09504000
2000-04-12,76.0,0.0,16.2,09504000
2000-04-13,76.0,0.0,18.9,09504000
2000-04-14,76.0,0.0,18.0,09504000
2000-04-15,76.0,0.0,13.2,09504000
2000-04-16,76.0,0.0,14.8,09504000
2000-04-17,76.0,0.0,17.2,09504000
2000-04-18,76.0,1.9,13.8,09504000
2000-04-19,76.0,0.0,12.8,09504000
2000-04-20,75.0,0.0,15.8,09504000
2000-04-21,75.0,0.0,19.1,09504000
2000-04-22,75.0,0.9,15.4,09504000
2000-04-23,74.0,0.0,16.3,09504000
2000-04-24,74.0,0.0,18.5,09504000
2000-04-25,74.0,0.0,20.1,09504000
2000-04-26,74.0,0.0,21.9,09504000
2000-04-27,74.0,0.0,22.6,09504000
2000-04-28,74.0,0.0,23.3,09504000
2000-04-29,74.0,0.0,20.1,09504000
2000-04-30,73.0,0.0,16.6,09504000
2000-05-01,74.0,0.0,19.0,09504000
2000-05-02,73.0,0.0,21.4,09504000
2000-05-03,73.0,0.0,22.9,09504000
2000-05-04,73.0,0.0,23.3,09504000
2000-05-05,73.0,0.0,23.3,09504000
2000-05-06,73.0,0.0,22.4,09504000
2000-05-07,73.0,0.0,21.4,09504000
2000-05-08,72.0,0.0,21.7,09504000
2000-05-09,72.0,0.0,21.8,09504000
2000-05-10,72.0,0.0,23.1,09504000
2000-05-11,71.0,0.0,20.6,09504000
2000-05-12,71.0,0.0,15.4,09504000
2000-05-13,71.0,0.0,17.2,09504000
2000-05-14,71.0,0.0,21.5,09504000
2000-05-15,71.0,0.0,23.7,09504000
2000-05-16,71.0,0.0,20.2,09504000
2000-05-17,71.0,0.0,15.7,09504000
2000-05-18,72.0,0.0,18.1,09504000
2000-05-19,72.0,0.0,18.8,09504000
2000-05-20,71.0,0.0,22.2,09504000
2000-05-21,71.0,0.0,23.5,09504000
2000-05-22,70.0,0.0,25.7,09504000
2000-05-23,70.0,0.0,27.4,09504000
2000-05-24,70.0,0.0,27.4,09504000
2000-05-25,70.0,0.0,24.8,09504000
2000-05-26,70.0,0.0,23.3,09504000
2000-05-27,70.0,0.0,25.1,09504000
2000-05-28,69.0,0.0,28.1,09504000
2000-05-29,69.0,0.0,29.4,09504000
2000-05-30,69.0,0.0,29.1,09504000
2000-05-31,69.0,0.0,27.5,09504000
2000-06-01,69.0,0.0,26.9,09504000
2000-06-02,69.0,0.0,27.1,09504000
2000-06-03,69.0,0.0,26.7,09504000
2000-06-04,68.0,0.0,27.3,09504000
2000-06-05,68.0,0.0,28.7,09504000
2000-06-06,68.0,0.0,28.6,09504000
2000-06-07,68.0,0.0,29.5,09504000
2000-06-08,67.0,0.0,27.3,09504000
2000-06-09,68.0,0.0,23.4,09504000
2000-06-10,68.0,0.0,22.2,09504000
2000-06-11,68.0,0.0,22.9,09504000
2000-06-12,68.0,0.0,25.6,09504000
2000-06-13,68.0,0.0,27.7,09504000
2000-06-14,67.0,0.0,28.5,09504000
2000-06-15,67.0,0.0,30.5,09504000
2000-06-16,67.0,0.0,29.9,09504000
2000-06-17,68.0,0.1,28.5,09504000
2000-06-18,70.0,0.4,25.7,09504000
2000-06-19,174.0,0.1,25.8,09504000
2000-06-20,72.0,0.0,26.2,09504000
2000-06-21,70.0,0.0,26.0,09504000
2000-06-22,70.0,4.1,24.7,09504000
2000-06-23,71.0,17.8,23.5,09504000
2000-06-24,72.0,1.5,23.4,09504000
2000-06-25,70.0,0.1,26.0,09504000
2000-06-26,68.0,0.0,26.6,09504000
2000-06-27,68.0,0.0,27.8,09504000
2000-06-28,69.0,0.0,28.1,09504000
2000-06-29,69.0,0.0,27.3,09504000
2000-06-30,71.0,1.9,24.4,09504000
2000-07-01,68.0,3.7,24.9,09504000
2000-07-02,68.0,0.1,26.3,09504000
2000-07-03,67.0,0.0,27.4,09504000
2000-07-04,67.0,0.0,26.8,09504000
2000-07-05,67.0,0.0,26.4,09504000
2000-07-06,67.0,0.0,26.8,09504000
2000-07-07,68.0,0.0,27.2,09504000
2000-07-08,70.0,3.0,25.4,09504000
2000-07-09,71.0,0.0,24.0,09504000
2000-07-10,71.0,0.0,26.0,09504000
2000-07-11,69.0,0.0,27.0,09504000
2000-07-12,69.0,0.0,28.1,09504000
2000-07-13,68.0,0.0,28.7,09504000
2000-07-14,68.0,0.0,29.4,09504000
2000-07-15,69.0,0.0,29.7,09504000
2000-07-16,69.0,0.0,29.5,09504000
2000-07-17,69.0,0.0,29.4,09504000
2000-07-18,68.0,0.0,29.0,09504000
2000-07-19,68.0,0.0,29.4,09504000
2000-07-20,67.0,0.0,31.1,09504000
2000-07-21,67.0,0.0,30.9,09504000
2000-07-22,68.0,0.0,30.6,09504000
2000-07-23,69.0,0.0,29.9,09504000
2000-07-24,70.0,0.2,29.7,09504000
2000-07-25,70.0,0.0,29.2,09504000
2000-07-26,69.0,0.0,31.6,09504000
2000-07-27,68.0,0.0,31.2,09504000
2000-07-28,68.0,0.0,30.7,09504000
2000-07-29,68.0,0.0,30.8,09504000
2000-07-30,68.0,0.5,29.9,09504000
2000-07-31,69.0,0.4,28.1,09504000
2000-08-01,70.0,0.6,28.3,09504000
2000-08-02,76.0,0.7,29.3,09504000
2000-08-03,71.0,0.0,29.4,09504000
2000-08-04,71.0,0.0,29.4,09504000
2000-08-05,71.0,0.0,29.7,09504000
2000-08-06,71.0,0.1,28.7,09504000
2000-08-07,72.0,0.1,27.9,09504000
2000-08-08,74.0,2.4,25.7,09504000
2000-08-09,72.0,0.2,27.3,09504000
2000-08-10,117.0,0.0,28.0,09504000
2000-08-11,75.0,1.3,29.1,09504000
2000-08-12,73.0,0.3,26.8,09504000
2000-08-13,78.0,0.1,26.6,09504000
2000-08-14,78.0,0.0,27.6,09504000
2000-08-15,73.0,1.6,27.6,09504000
2000-08-16,72.0,0.7,28.0,09504000
2000-08-17,73.0,1.3,26.7,09504000
2000-08-18,146.0,0.3,25.5,09504000
2000-08-19,156.0,4.7,24.6,09504000
2000-08-20,80.0,0.0,26.1,09504000
2000-08-21,75.0,0.0,26.1,09504000
2000-08-22,74.0,0.2,25.8,09504000
2000-08-23,74.0,0.1,25.2,09504000
2000-08-24,83.0,0.0,26.2,09504000
2000-08-25,271.0,0.0,25.9,09504000
2000-08-26,223.0,0.0,25.3,09504000
2000-08-27,87.0,1.5,25.1,09504000
2000-08-28,79.0,9.3,22.9,09504000
2000-08-29,78.0,6.5,20.3,09504000
2000-08-30,84.0,5.8,18.9,09504000
2000-08-31,73.0,0.8,19.5,09504000
2000-09-01,71.0,0.8,20.0,09504000
2000-09-02,70.0,0.0,20.9,09504000
2000-09-03,70.0,0.0,23.0,09504000
2000-09-04,69.0,0.0,23.7,09504000
2000-09-05,69.0,0.0,25.7,09504000
2000-09-06,69.0,0.0,25.4,09504000
2000-09-07,70.0,0.0,23.9,09504000
2000-09-08,69.0,0.2,24.7,09504000
2000-09-09,69.0,0.0,25.4,09504000
2000-09-10,68.0,0.0,24.9,09504000
2000-09-11,68.0,0.0,24.1,09504000
2000-09-12,68.0,0.0,25.0,09504000
2000-09-13,68.0,0.0,25.4,09504000
2000-09-14,68.0,0.0,26.1,09504000
2000-09-15,68.0,0.0,26.6,09504000
2000-09-16,68.0,0.0,26.8,09504000
2000-09-17,68.0,0.0,27.6,09504000
2000-09-18,68.0,0.0,26.6,09504000
2000-09-19,68.0,0.0,24.9,09504000
2000-09-20,68.0,0.0,25.3,09504000
2000-09-21,68.0,0.0,24.8,09504000
2000-09-22,68.0,0.1,21.7,09504000
2000-09-23,68.0,0.0,20.1,09504000
2000-09-24,68.0,0.0,17.8,09504000
2000-09-25,69.0,0.0,17.3,09504000
2000-09-26,69.0,0.7,21.7,09504000
2000-09-27,69.0,0.1,22.9,09504000
2000-09-28,69.0,0.0,23.9,09504000
2000-09-29,69.0,0.0,24.6,09504000
2000-09-30,69.0,0.0,24.3,09504000
2000-10-01,69.0,0.0,24.1,09504000
2000-10-02,69.0,0.2,24.6,09504000
2000-10-03,69.0,1.2,23.7,09504000
2000-10-04,71.0,2.4,20.4,09504000
2000-10-05,72.0,0.0,20.1,09504000
2000-10-06,70.0,0.0,21.1,09504000
2000-10-07,70.0,0.0,22.2,09504000
2000-10-08,70.0,0.0,21.2,09504000
2000-10-09,70.0,0.0,18.0,09504000
2000-10-10,71.0,2.5,15.5,09504000
2000-10-11,71.0,9.4,13.8,09504000
2000-10-12,71.0,0.0,13.2,09504000
2000-10-13,71.0,0.0,12.9,09504000
2000-10-14,71.0,0.0,13.6,09504000
2000-10-15,71.0,0.0,15.0,09504000
2000-10-16,71.0,0.0,15.2,09504000
2000-10-17,71.0,0.0,16.2,09504000
2000-10-18,71.0,0.0,17.4,09504000
2000-10-19,71.0,0.0,18.7,09504000
2000-10-20,71.0,0.0,18.1,09504000
2000-10-21,74.0,6.1,16.4,09504000
2000-10-22,172.0,20.6,12.3,09504000
2000-10-23,123.0,7.8,11.2,09504000
2000-10-24,88.0,0.1,9.2,09504000
2000-10-25,78.0,0.0,11.3,09504000
2000-10-26,76.0,0.0,12.5,09504000
2000-10-27,580.0,8.9,10.9,09504000
2000-10-28,947.0,20.3,8.9,09504000
2000-10-29,204.0,1.2,10.1,09504000
2000-10-30,154.0,6.2,10.1,09504000
2000-10-31,361.0,12.4,6.1,09504000
2000-11-01,195.0,0.2,6.4,09504000
2000-11-02,119.0,0.0,8.0,09504000
2000-11-03,109.0,0.5,9.1,09504000
2000-11-04,98.0,3.9,8.0,09504000
2000-11-05,88.0,0.0,9.4,09504000
2000-11-06,83.0,4.1,7.0,09504000
2000-11-07,80.0,0.0,3.7,09504000
2000-11-08,79.0,0.0,4.0,09504000
2000-11-09,78.0,0.0,5.0,09504000
2000-11-10,78.0,6.1,4.8,09504000
2000-11-11,80.0,15.9,1.8,09504000
2000-11-12,80.0,3.3,-2.1,09504000
2000-11-13,78.0,0.0,-2.8,09504000
2000-11-14,78.0,0.0,1.2,09504000
2000-11-15,77.0,0.0,2.2,09504000
2000-11-16,77.0,0.0,-0.0,09504000
2000-11-17,77.0,0.0,-0.4,09504000
2000-11-18,77.0,0.0,0.1,09504000
2000-11-19,77.0,0.0,2.0,09504000
2000-11-20,76.0,0.0,4.3,09504000
2000-11-21,77.0,0.0,5.0,09504000
2000-11-22,77.0,0.0,7.9,09504000
2000-11-23,77.0,0.6,6.6,09504000
2000-11-24,77.0,0.0,6.7,09504000
2000-11-25,76.0,0.0,6.3,09504000
2000-11-26,76.0,0.0,6.3,09504000
2000-11-27,77.0,0.0,8.2,09504000
2000-11-28,77.0,0.0,9.1,09504000
2000-11-29,77.0,0.0,9.8,09504000
2000-11-30,77.0,0.0,9.9,09504000
2000-12-01,77.0,0.0,8.5,09504000
2000-12-02,77.0,0.0,9.5,09504000
2000-12-03,77.0,0.0,9.4,09504000
2000-12-04,77.0,0.0,9.1,09504000
2000-12-05,77.0,0.0,9.7,09504000
2000-12-06,77.0,0.0,9.0,09504000
2000-12-07,78.0,0.0,10.2,09504000
2000-12-08,78.0,0.0,10.8,09504000
2000-12-09,78.0,0.0,8.9,09504000
2000-12-10,78.0,0.0,9.0,09504000
2000-12-11,78.0,0.0,6.7,09504000
2000-12-12,79.0,1.4,7.3,09504000
2000-12-13,79.0,1.9,3.8,09504000
2000-12-14,78.0,0.0,4.8,09504000
2000-12-15,78.0,0.0,5.3,09504000
2000-12-16,78.0,0.0,5.9,09504000
2000-12-17,78.0,0.0,5.9,09504000
2000-12-18,78.0,0.0,4.7,09504000
2000-12-19,78.0,0.0,3.2,09504000
2000-12-20,78.0,0.0,6.6,09504000
2000-12-21,78.0,0.0,6.0,09504000
2000-12-22,78.0,0.0,7.9,09504000
2000-12-23,79.0,0.0,7.4,09504000
2000-12-24,80.0,0.0,6.9,09504000
2000-12-25,79.0,0.0,5.5,09504000
2000-12-26,79.0,0.0,4.9,09504000
2000-12-27,79.0,0.0,4.5,09504000
2000-12-28,80.0,0.0,6.8,09504000
2000-12-29,80.0,0.0,6.1,09504000
2000-12-30,80.0,0.0,7.4,09504000
2000-12-31,80.0,0.0,7.6,09504000
2001-01-01,80.0,0.0,6.3,09504000
2001-01-02,80.0,0.0,6.3,09504000
2001-01-03,80.0,0.0,5.8,09504000
2001-01-04,80.0,0.0,6.5,09504000
2001-01-05,81.0,0.0,8.3,09504000
2001-01-06,81.0,0.6,10.6,09504000
2001-01-07,81.0,0.0,9.0,09504000
2001-01-08,81.0,0.0,8.4,09504000
2001-01-09,84.0,9.6,7.9,09504000
2001-01-10,81.0,0.2,6.8,09504000
2001-01-11,81.0,0.0,6.1,09504000
2001-01-12,86.0,21.7,4.2,09504000
2001-01-13,83.0,1.5,-0.1,09504000
2001-01-14,81.0,0.0,-4.1,09504000
2001-01-15,80.0,0.4,-2.6,09504000
2001-01-16,81.0,8.1,-1.0,09504000
2001-01-17,80.0,0.2,-4.0,09504000
2001-01-18,79.0,0.0,-5.5,09504000
2001-01-19,79.0,0.0,-4.1,09504000
2001-01-20,78.0,0.0,-0.9,09504000
2001-01-21,77.0,0.0,0.2,09504000
2001-01-22,77.0,0.0,3.4,09504000
2001-01-23,77.0,0.0,3.5,09504000
2001-01-24,76.0,0.0,3.6,09504000
2001-01-25,76.0,0.0,5.1,09504000
2001-01-26,77.0,0.0,2.8,09504000
2001-01-27,80.0,6.7,2.8,09504000
2001-01-28,79.0,4.0,0.2,09504000
2001-01-29,78.0,1.3,-0.7,09504000
2001-01-30,77.0,1.3,0.7,09504000
2001-01-31,77.0,0.0,-2.9,09504000
2001-02-01,77.0,0.0,-1.9,09504000
2001-02-02,77.0,0.0,0.9,09504000
2001-02-03,77.0,0.0,5.2,09504000
2001-02-04,77.0,0.0,6.7,09504000
2001-02-05,77.0,0.0,8.5,09504000
2001-02-06,78.0,0.0,11.8,09504000
2001-02-07,77.0,1.9,7.5,09504000
2001-02-08,78.0,9.2,3.6,09504000
2001-02-09,79.0,0.0,0.9,09504000
2001-02-10,80.0,0.0,2.3,09504000
2001-02-11,80.0,0.0,4.7,09504000
2001-02-12,79.0,0.0,5.3,09504000
2001-02-13,79.0,6.3,4.9,09504000
2001-02-14,82.0,15.2,1.1,09504000
2001-02-15,80.0,0.2,-4.1,09504000
2001-02-16,79.0,0.0,-1.9,09504000
2001-02-17,80.0,0.0,2.2,09504000
2001-02-18,79.0,0.0,7.3,09504000
2001-02-19,79.0,0.0,8.2,09504000
2001-02-20,79.0,0.0,8.7,09504000
2001-02-21,80.0,0.0,8.8,09504000
2001-02-22,85.0,0.0,8.8,09504000
2001-02-23,84.0,2.5,7.9,09504000
2001-02-24,82.0,0.0,4.3,09504000
2001-02-25,81.0,0.6,5.3,09504000
2001-02-26,84.0,6.8,5.9,09504000
2001-02-27,83.0,0.5,5.6,09504000
2001-02-28,83.0,16.1,4.1,09504000
2001-03-01,87.0,2.4,3.5,09504000
2001-03-02,101.0,0.0,2.8,09504000
2001-03-03,117.0,2.2,6.0,09504000
2001-03-04,116.0,0.0,5.8,09504000
2001-03-05,117.0,0.0,8.7,09504000
2001-03-06,102.0,0.5,10.4,09504000
2001-03-07,98.0,13.1,7.8,09504000
2001-03-08,104.0,1.3,7.8,09504000
2001-03-09,210.0,0.1,10.1,09504000
2001-03-10,251.0,19.4,6.8,09504000
2001-03-11,651.0,7.8,3.2,09504000
2001-03-12,517.0,4.2,6.1,09504000
2001-03-13,755.0,0.0,5.7,09504000
2001-03-14,1040.0,0.0,8.7,09504000
2001-03-15,914.0,0.0,7.7,09504000
2001-03-16,387.0,0.1,9.8,09504000
2001-03-17,258.0,0.0,9.2,09504000
2001-03-18,193.0,0.0,9.3,09504000
2001-03-19,140.0,0.0,11.4,09504000
2001-03-20,115.0,0.0,13.8,09504000
2001-03-21,106.0,0.0,16.3,09504000
2001-03-22,98.0,0.0,16.7,09504000
2001-03-23,92.0,0.0,15.3,09504000
2001-03-24,87.0,0.0,14.8,09504000
2001-03-25,85.0,0.0,16.0,09504000
2001-03-26,81.0,0.0,15.7,09504000
2001-03-27,80.0,1.0,14.8,09504000
2001-03-28,79.0,0.4,12.8,09504000
2001-03-29,78.0,0.0,15.2,09504000
2001-03-30,77.0,0.0,13.4,09504000
2001-03-31,77.0,0.0,15.1,09504000
2001-04-01,77.0,0.0,17.3,09504000
2001-04-02,77.0,0.0,15.5,09504000
2001-04-03,77.0,0.0,13.0,09504000
2001-04-04,77.0,0.0,12.7,09504000
2001-04-05,77.0,0.5,11.9,09504000
2001-04-06,81.0,23.8,7.1,09504000
2001-04-07,78.0,1.3,8.6,09504000
2001-04-08,77.0,1.0,9.4,09504000
2001-04-09,77.0,0.0,9.1,09504000
2001-04-10,79.0,8.2,6.7,09504000
2001-04-11,79.0,1.1,3.7,09504000
2001-04-12,78.0,0.6,7.6,09504000
2001-04-13,77.0,0.0,9.1,09504000
2001-04-14,74.0,0.0,13.5,09504000
2001-04-15,75.0,0.0,13.9,09504000
2001-04-16,75.0,0.0,15.6,09504000
2001-04-17,74.0,0.0,17.3,09504000
2001-04-18,74.0,0.0,19.5,09504000
2001-04-19,74.0,0.0,19.9,09504000
2001-04-20,74.0,0.0,14.4,09504000
2001-04-21,75.0,6.8,9.9,09504000
2001-04-22,76.0,6.6,6.6,09504000
2001-04-23,74.0,0.0,11.4,09504000
2001-04-24,74.0,0.0,13.9,09504000
2001-04-25,73.0,0.0,17.7,09504000
2001-04-26,73.0,0.0,20.8,09504000
2001-04-27,73.0,1.2,18.7,09504000
2001-04-28,74.0,0.3,17.3,09504000
2001-04-29,73.0,0.0,19.6,09504000
2001-04-30,73.0,0.0,19.7,09504000
2001-05-01,73.0,0.0,21.8,09504000
2001-05-02,73.0,0.0,21.4,09504000
2001-05-03,72.0,0.5,13.4,09504000
2001-05-04,72.0,0.0,11.7,09504000
2001-05-05,72.0,0.0,14.9,09504000
2001-05-06,72.0,0.0,18.7,09504000
2001-05-07,72.0,0.0,21.0,09504000
2001-05-08,72.0,0.0,22.1,09504000
2001-05-09,71.0,0.0,25.2,09504000
2001-05-10,71.0,0.0,25.2,09504000
2001-05-11,71.0,0.0,23.9,09504000
2001-05-12,71.0,0.0,23.1,09504000
2001-05-13,71.0,0.7,22.1,09504000
2001-05-14,71.0,1.4,20.3,09504000
2001-05-15,70.0,0.0,22.8,09504000
2001-05-16,70.0,0.0,23.8,09504000
2001-05-17,70.0,0.0,24.2,09504000
2001-05-18,70.0,0.0,24.6,09504000
2001-05-19,72.0,0.6,22.0,09504000
2001-05-20,72.0,0.9,21.1,09504000
2001-05-21,71.0,0.0,23.6,09504000
2001-05-22,70.0,0.0,22.9,09504000
2001-05-23,70.0,0.0,24.8,09504000
2001-05-24,69.0,0.0,26.2,09504000
2001-05-25,68.0,0.0,27.8,09504000
2001-05-26,68.0,0.0,27.8,09504000
2001-05-27,68.0,0.0,27.3,09504000
2001-05-28,68.0,0.0,23.6,09504000
