date,discharge_cfs,precip_mm,temp_c,site_id
2000-01-01,10800.0,5.3,3.4,14174000
2000-01-02,11900.0,12.0,3.4,14174000
2000-01-03,13500.0,5.5,4.5,14174000
2000-01-04,15300.0,18.8,6.7,14174000
2000-01-05,20900.0,0.9,3.8,14174000
2000-01-06,21700.0,1.6,1.4,14174000
2000-01-07,20100.0,2.7,4.4,14174000
2000-01-08,18300.0,5.8,7.1,14174000
2000-01-09,19500.0,14.1,5.9,14174000
2000-01-10,25200.0,28.0,4.5,14174000
2000-01-11,40300.0,16.9,4.4,14174000
2000-01-12,52900.0,15.2,1.7,14174000
2000-01-13,48900.0,37.3,1.3,14174000
2000-01-14,54800.0,20.6,3.5,14174000
2000-01-15,59800.0,0.2,0.3,14174000
2000-01-16,56100.0,15.3,4.1,14174000
2000-01-17,51700.0,0.6,3.4,14174000
2000-01-18,49600.0,0.0,2.1,14174000
2000-01-19,46400.0,2.5,1.8,14174000
2000-01-20,44800.0,8.2,4.0,14174000
2000-01-21,42800.0,2.5,5.8,14174000
2000-01-22,40400.0,4.8,5.8,14174000
2000-01-23,37400.0,2.0,2.4,14174000
2000-01-24,35800.0,17.7,3.6,14174000
2000-01-25,41000.0,8.5,5.6,14174000
2000-01-26,40300.0,0.2,3.8,14174000
2000-01-27,35400.0,0.0,2.4,14174000
2000-01-28,30600.0,0.0,0.8,14174000
2000-01-29,26500.0,0.0,1.4,14174000
2000-01-30,23500.0,1.3,0.3,14174000
2000-01-31,20300.0,2.7,3.2,14174000
2000-02-01,19200.0,17.3,9.3,14174000
2000-02-02,21800.0,6.9,7.1,14174000
2000-02-03,23500.0,0.0,5.4,14174000
2000-02-04,21500.0,3.9,7.0,14174000
2000-02-05,19500.0,1.8,7.7,14174000
2000-02-06,17800.0,3.8,8.0,14174000
2000-02-07,15900.0,0.0,7.5,14174000
2000-02-08,14800.0,12.8,8.0,14174000
2000-02-09,15200.0,0.2,6.0,14174000
2000-02-10,14900.0,1.9,3.7,14174000
2000-02-11,14800.0,12.6,4.4,14174000
2000-02-12,19000.0,23.0,5.4,14174000
2000-02-13,22000.0,11.3,3.4,14174000
2000-02-14,25100.0,22.9,6.8,14174000
2000-02-15,30100.0,6.7,5.8,14174000
2000-02-16,31200.0,0.0,4.8,14174000
2000-02-17,26800.0,0.0,5.0,14174000
2000-02-18,21800.0,0.0,5.1,14174000
2000-02-19,17300.0,0.0,4.1,14174000
2000-02-20,14900.0,0.0,4.2,14174000
2000-02-21,13300.0,4.9,6.3,14174000
2000-02-22,12500.0,13.7,6.6,14174000
2000-02-23,13700.0,1.9,4.5,14174000
2000-02-24,14600.0,2.1,3.4,14174000
2000-02-25,13300.0,6.6,5.0,14174000
2000-02-26,14800.0,30.1,6.3,14174000
