预报尺度/d,模型,NSE,KGE,RMSE/(ft³·s⁻¹),MAE/(ft³·s⁻¹),PBIAS/%
1,持续性预报,0.787,0.893,4225.9,1414.9,0.1
1,ARIMA,-0.808,0.265,12305.0,5985.6,20.3
1,XGBoost,0.916,0.945,2649.6,1035.4,3.5
1,LSTM,0.912,0.915,2715.7,988.3,-0.9
1,LSTM-Attention,0.93,0.884,2422.3,1013.7,-5.2
3,持续性预报,0.164,0.584,8365.6,3296.0,0.5
3,ARIMA,-0.423,0.313,10914.4,5892.5,26.4
3,XGBoost,0.472,0.632,6646.8,3349.1,15.2
3,LSTM,0.543,0.654,6183.4,2892.4,8.3
3,LSTM-Attention,0.459,0.612,6729.0,3226.1,1.1
7,持续性预报,-0.393,0.342,10801.8,4878.6,2.9
7,ARIMA,-0.087,0.24,9538.8,5995.6,30.3
7,XGBoost,0.108,0.383,8640.7,5250.6,27.0
7,LSTM,0.096,0.366,8699.5,5389.7,26.1
7,LSTM-Attention,-0.058,0.28,9412.1,6326.9,44.7
