horizon,model,NSE,KGE,RMSE,MAE,PBIAS
1,Persistence,0.7867380401224399,0.8934349075103079,4225.91844337102,1414.8856635621569,0.10499129400445352
1,ARIMA,-0.8081443933018266,0.26492668844156064,12304.981576097942,5985.615444193512,20.343134636157036
1,XGBoost,0.916163597456117,0.9452211180265228,2649.6025336479674,1035.3612048261666,3.489016318890139
1,LSTM,0.911931065779813,0.9151427828573137,2715.662427167898,988.3389145413998,-0.9461788799247298
1,LSTM-Attention,0.9299334729753725,0.8841538529002392,2422.2541517984055,1013.7142035788827,-5.242430721792124
3,Persistence,0.16426558379212797,0.5839075628642247,8365.628158136926,3296.003664119682,0.49905021469289373
3,ARIMA,-0.4225490994812009,0.3130110228455796,10914.354252566007,5892.521896708399,26.370924635604773
3,XGBoost,0.4724146102010325,0.632331751497941,6646.772179164017,3349.104211191245,15.218464065484303
3,LSTM,0.5434075660426614,0.6544423332715358,6183.420316817024,2892.3584015646443,8.26944469823524
3,LSTM-Attention,0.45928475186997375,0.6124301674516233,6728.972007851784,3226.1220318932983,1.0759281338747861
7,Persistence,-0.39336700118011425,0.3420805096256825,10801.825914066316,4878.6404427321595,2.8869126115897727
7,ARIMA,-0.08657029364499369,0.2404686871509153,9538.790861784742,5995.640355452389,30.30073107375908
7,XGBoost,0.10840591436070579,0.3834916492297683,8640.681611703145,5250.646629117109,26.970050388955823
7,LSTM,0.09623339008607057,0.3657050982438187,8699.465282651134,5389.711801485304,26.07326470454668
7,LSTM-Attention,-0.05789606223309329,0.2795396995314605,9412.086580616444,6326.900843614193,44.69205756439173
